EquipmentCode,EquipmentName,Location,TypeOfEquipment,ProductLine,Model,Manufacturer,InstallationDate,Capacity,CapacityUnit,Status,DailyWorkingHours,Length,Width,Height,Weight,AutomationLevel
B1P01,دستگاه تزریق یک,بسپار1 تولید فوم,تولیدی,فوم سرد,MAMIX 12/28,کره جنوبی,13940726,900,گرم بر ثانیه,فعال,5.5,3.8,2,2.5,0,3
B1P02,دستگاه تزریق دو,بسپار1 تولید فوم,تولیدی,فوم سرد,MAMIX 12/28-DV1218,کره جنوبی,13940726,500,گرم بر ثانیه,فعال,2.5,3.8,2,2.5,0,3
B1P03,ربات تزریق یک,بسپار1 تولید فوم,تولیدی,فوم سرد,S-420,آمریکا,13940726,10,گرم در ثانیه,فعال,7.5,3,0,3,0,3
B1P04,ربات تزریق دو,بسپار1 تولید فوم,تولیدی,فوم سرد,S-420,آمریکا,13940726,10,گرم در ثانیه,فعال,3,3,0,3,0,3
B1P05,ربات واکس,بسپار1 تولید فوم,تولیدی,فوم سرد,-,آمریکا,13940726,10,گرم در ثانیه,غیرفعال,0,0,0,0,0,3
B1P05-1,مخزن واکس,بسپار1 تولید فوم,تولیدی,فوم سرد,*,ایران,13940520,0,,فعال,7.5,0,0,0,0,2
B1P06,میز گردان یک,بسپار1 تولید فوم,تولیدی,فوم سرد,*,ایران,13930410,10,تن در روز,فعال,7.5,15,0,1,0,2
B1P07,میز گردان دو,بسپار1 تولید فوم,تولیدی,فوم سرد,*,ایران,13930410,10,تن در روز,فعال,5.5,15,0,1,0,2
B1P08,کانوایرها,بسپار1 تولید فوم,تولیدی,فوم سرد,افقی * شیبدار,ایران,13961025,5,دور در دقیقه,فعال,0,0,0,0,0,2
B1P08-1,کانوایر افقی میز یک,بسپار1 تولید فوم,تولیدی,فوم سرد,9 متری,ایران,13961025,5,دور در دقیقه,فعال,7,9,1.23,1.5,1,2
B1P08-2,کراشر کانوایر,بسپار1 تولید فوم,تولیدی,فوم سرد,گازگیر 2 محرکه,ایران,13961025,5,دور در دقیقه,فعال,7,1.5,1.23,2,500,2
B1P08-3,کانوایر میز 2,بسپار1 تولید فوم,تولیدی,فوم سرد,2 متری,ایران,14030530,5,دور در دقیقه,فعال,7,2,0.8,1.5,300,2
B1P08-4,کانوایر 2 تکه مموری,بسپار1 تولید فوم,تولیدی,فوم سرد,شیبدار 5m,15m,ایران,13981025,5,دور در دقیقه,فعال,5,0,0,0,0,2
B1P08-5,کانوایر 3 تکه فوم پلاس,بسپار1 تولید فوم,تولیدی,فوم سرد,شیبدار 20 متری,ایران,14000809,5,دور در دقیقه,فعال,3,30,123,1.5,1,2
B1PF09,کمپرسور هوا 1000L,بسپار1 تولید فوم,تولیدی,فوم سرد,FINI,ایتالیا,13940710,860,L/m,فعال,8,2.5,1,1.5,0.5,3
B1PF09-1,کمپرسور هوا 1000L بلندینگ,بسپار1 تولید فوم,تولیدی,مواد اولیه فوم,مفیدی /کوچک,ایران,0,600,L/m,فعال,0,2,0.8,1.5,0.5,2
B1PF10,دیگ آب گرم,بسپار1 تولید فوم,تولیدی,فوم سرد,-,ایران,14020525,15000,کیلو کالری,فعال,0,5,2,2.2,1,3
B1PF11,چیلر تولید فوم,بسپار1 تولید فوم,تولیدی,فوم سرد,10تنی*6D75-1009,آمریکا,13961025,20,L/m,فعال,7,2,1,1.2,1,3
B1PF12,جت پرینتر,بسپار1 تولید فوم,تولیدی,فوم سرد,UX-RX,ژاپن,14001010,0,,فعال,7,0,0,0,0,3
B1PF13,سانتریفیوژ فن میز گردان 1,بسپار1 تولید فوم,تأسیساتی,فوم سرد,Exhaust fan,ایران,13940210,6500,CFM,فعال,10,1,0.4,1,0,1
B1PF14,سانتریفیوژ فن میز گردان 2,بسپار1 تولید فوم,تأسیساتی,فوم سرد,Exhaust FAN,ایران,13940210,6500,CFM,فعال,10,1,0.4,1,0,1
B1PT01 iso,مخزن1 MDI تولید فوم,بسپار1 مخازن مواد(ایزو),تولیدی,فوم سرد,6 تن,ایران,13960505,6,تن,فعال,7,2,0,4,0,2
B1PT02 iso,مخزن2 MDI تولید فوم,بسپار1 مخازن (ایزو),انبارش,فوم سرد,6 تن,ایران,13960505,6,تن,فعال,7,2,0,4,0,2
B1PT03 iso,مخزن3 MDI رزرو,بسپار1 مخازن (ایزو),انبارش,فوم سرد,6 تن,ایران,14000810,6,تن,فعال,7,0,0,0,0,2
B1PT04 iso,مخزن4 MDI رزرو,بسپار1 مخازن (ایزو),انبارش,فوم سرد,6 تن,ایران,14000810,6,تن,فعال,7,0,0,0,0,2
B1PT05 iso,مخزن5 MDI رزرو,بسپار1 مخازن (ایزو),انبارش,فوم سرد,6 تن,ایران,14000810,6,تن,فعال,7,0,0,0,0,2
B1PT06 iso,مخزن6 MDI رزرو,بسپار1 مخازن (ایزو),انبارش,فوم سرد,6 تن,ایران,14000510,6,تن,فعال,7,0,0,0,0,2
B1PT1 pol,مخزن پلیول1,بسپار1 مخازن (پولیول),انبارش,فوم سرد,6 تن,ایران,13960505,6,تن,فعال,7,2,0,4,0,2
B1PT2 pol,مخزن پلیول2,بسپار1 مخازن (پولیول),انبارش,فوم سرد,6 تن,ایران,13960505,6,تن,فعال,7,2,0,4,0,2
B1PT3 pol,مخزن پلیول3,بسپار1 مخازن (پولیول),انبارش,فوم سرد,6 تن,ایران,13960505,6,تن,فعال,7,2,0,4,0,2
B1PT4 pol,مخزن پلیول4,بسپار1 مخازن (پولیول),انبارش,فوم سرد,6 تن,ایران,13960505,6,تن,فعال,7,2,0,4,0,2
B1PT5 pol,مخزن پلیول5,بسپار1 مخازن (پولیول),انبارش,فوم سرد,6 تن,ایران,14000810,6,تن,فعال,7,0,0,0,0,2
B1PT6 pol,مخزن پلیول6,بسپار1 مخازن (پولیول),انبارش,فوم سرد,6 تن,ایران,14000810,6,تن,فعال,7,0,0,0,0,2
B1BT,مخزن بلندینگ محصول,بسپار1 بلندینگ,تولیدی,مواد اولیه فوم,6 تن,ایران,14000810,6,تن,فعال,5,2.5,1,6,10,3
B1BT 9955,مخزن بلندینگ 9955,بسپار1 مخازن فوم(کاتالیست),تولیدی,مواد اولیه فوم,6 تن,ایران,14000810,6,تن,فعال,5,0,0,0,0,3
B1BT cata,مخازن ترکیبی استیل*8,بسپار1 بلندینگ,تولیدی,مواد اولیه فوم,200 لیتری,ایران,14000810,200,لیتر,فعال,5,0,0,0,0,2
